program,district,impact_per_1pct,residents_k_per_1pct,delivery_risk_per_1pct,mandated_floor_pct
Youth-Jobs-Corps,D1,8.4,2.1,3.2,5
Small-Business-Microgrants,D1,7.9,1.6,4.1,
Library-Extended-Hours,D1,5.2,3.4,1.2,
Night-Bus-Pilot,D1,6.1,4.2,2.8,
Community-Health-Workers,D2,8.8,2.6,3.6,3
Rental-Assistance-Fund,D2,7.6,1.9,2.4,
Playground-Renewal,D2,4.3,2.8,1.1,
Food-Pantry-Network,D2,6.7,3.1,1.8,
Neighborhood-Safety-Retrofit,D3,7.2,3.8,2.2,6
Streetlight-LED-Upgrade,D3,5.8,5.2,1.4,
Youth-Sports-League,D3,4.9,2.4,1.6,
Eviction-Legal-Aid,D3,8.1,1.4,3.4,
Senior-Center-Renovation,D4,5.5,1.8,2.6,
Digital-Literacy-Labs,D4,6.9,2.2,2.9,
Tree-Canopy-Program,D4,4.6,4.6,1.3,
Flood-Mitigation-Small,D4,7.4,3.3,4.4,3
Workforce-Reentry-Program,D5,8.6,1.2,4.2,
Childcare-Subsidy-Pilot,D5,8.2,1.7,3.8,
Park-Restroom-Renewal,D5,3.8,3.6,1.0,
Traffic-Calming-Corridors,D5,5.9,4.4,2.1,
Mental-Health-Crisis-Team,D6,9.1,2.0,4.6,
Cooling-Centers,D6,6.3,3.9,1.7,3
Community-Garden-Network,D6,4.1,2.3,1.2,
Tenant-Organizing-Support,D6,6.6,1.5,3.1,
Public-Wifi-Corridors,D1,5.4,4.8,2.5,
Arts-Micro-Grants,D2,4.4,2.0,1.5,
School-Crossing-Guards,D3,5.1,3.0,1.1,
Home-Repair-Grants,D4,6.4,1.6,2.7,
Summer-Youth-Employment,D5,7.8,2.9,2.9,3
Air-Quality-Monitoring,D6,4.8,5.1,1.9,
Homeless-Outreach-Teams,D2,8.3,1.8,4.0,
Bike-Lane-Network,D3,5.6,3.7,2.3,
